"id","nombre","precio","sector","area","tipoVivienda","tipoOperacion","descripcion","localizacion"
"11","Terreno en venta en Quito","$ 325.000
                        ","Quito, Quito, Quito, Pichincha ","2.600 m²","Terreno","Venta","Amplio lote residencial, ubicado en el sector del terminal de Carcelén, 2.600 m2 ideal para proyecto   inmobiliario, el sector cuenta   con varios   conjuntos habitacionales, hosterías, colegios, supermercados y varios servicios.

Excelente ubicación, vías de acceso adoquinadas, linda vista, servicios básicos, guardianía. DATOS DEL LOTE
Área según escritura:   2.600   m2

COS en Planta Baja 50% COS total 150%
Pisos:  3

Frente total 41,15 m

Uso de suelo:  Residencial

Clasificación Suelo:    Urbano SU

Lote Mínimo:  600 m2

Frente mínimo:  15 m

Número de pisos:  3

Forma de Ocupación del Suelo: (A) Aislada



Precio de Venta:  $325.000

Para mayor información   y visitas   contactar al ","Pichincha, Quito, Quito"
"12","Terreno en venta en Sangolqui","$ 270.000
                        ","Sangolqui, Sangolqui, Rumiñahui, Pichincha ","2.690 m²","Terreno","Venta","Precio revisado
lindo terreno plano
Dos frentes, terreno en esquina.
dentro de Conjunto Privado, lindo entorno tanto de naturaleza como de casas residenciales.
 Hermosas áreas comunales
 Todos los servicios
Control de ingreso, 
guardia las 24/7.
SE ACEPTA FINANCIAMIENTO CON BANCOS.
Llámenos y coordine su visita. 
Le ayudaremos con Gusto. - Vigilancia- Cancha deportes- Solarium- Parrilla- Agua corriente- Desagüe cloacal- Internet- Pavimento- Kiosko","MHMH+HFQ, Quito, Ecuador"
"13","Terreno en venta en Puembo","$ 918.000
                        ","Puembo, Puembo, Quito, Pichincha ","15.700 m²","Terreno","Venta","Sentirse en el campo, rodeado de bosque y verde, pero muy cerca de las facilidades de Puembo. A menos de 2 kms de la autopista Ruta Viva que conduce en 15 minutos de Cumbayá y 15 minutos al aeropuerto internacional de Quito.

Cuerpo casi plano de 15,700 m2 que incluye alrededor de 5.000 de área de protección de quebrada con bosque de eucaliptos con vista a un barranco natural.

Propiedad ideal para desarrollar 3 o 4 casas de lujo con terreno suficiente de 2,000-2,500 m2 cada una.

Área total escritura: 15700.54 m2;
Área gráfica: 15713.79 m2;
Frente total: 60 m.","Pichincha, Quito, Puembo"
"14","Terreno en venta en Guangopolo","$ 850.000
                        ","Guangopolo, Guangopolo, Quito, Pichincha ","1.094 m²","Terreno","Venta","LA URBANIZACION CUENTA CON GARITA PROPIA DE SEGURIDAD, GUARDIA DE RONDA, CABLEADO SOTERRADO, PISCINA, CANCHA DE TENIS,  SENDERO, MUCHA NATURALEZA Y HERMOSOS JARDINES COMUNALES. 
UBICACION PRIVILEGIADA, A 3 MINUTOS ACCESO A LA RUTA VIVA,  CERCA DE CENTROS COMERCIALES, COLEGIOS, BANCOS, RESTAURANTES, HOSPITALES.","Avenida Intervalles, Quito, Ecuador"
"15","Terreno en venta en Puembo","$ 503.000
                        ","Puembo, Puembo, Quito, Pichincha ","2.396 m²","Terreno","Venta","Lote totalmente plano  37m de frente con vista, su entorno ya consolidado. Ingenio tiene una ubicación privilegiada rodeada de espectaculares vistas y entorno natural junto al country club Arrayanes. La urbanización tiene cableado zoterrado,  con circuito de cámaras, garita propia de seguridad las 24h00, guardia de ronda.","Hermanos Brauer, Puembo, Ecuador"
"16","Terreno en venta en Zambiza","$ 401.800
                        ","Zambiza, Zambiza, Quito, Pichincha ","820 m²","Terreno","Venta","LA URBANIZACIÓN  RINCÓN DEL VALLE TIENE UNA UBICACIÓN PRIVILEGIADA, UBICADA EN EL CORAZÓN DE CUMBAYA, CON UN CLIMA TEMPLADO, ENTORNO INIGUALABLE, RODEADA DE MUCHA NATURALEZA , AMPLIAS VÍAS DE CIRCULACIÓN, CABLEADO SOTERRADO, ADOQUINES Y LAMPARAS DECORATIVAS , HERMOSOS JARDINES, ÁREAS COMUNALES PROPIAS DE LA URBANIZACIÓN CON  CANCHAS DE TENIS, BASQUETBOL, VOLEIBOL, INDOR Y  SENDEROS.  LA URBANIZACIÓN ESTÁ CALIFICADA COMO UNA DE LAS MÁS SEGURAS POR ORGANISMOS INTERNACIONALES QUE HAN ESCOGIDO PARA LA RESIDENCIA DE MAS DE 6 CUERPOS DIPLOMÁTICOS. CUENTA CON GARITA  PROPIA DE SEGURIDAD CON 2 GUARDIAS EN GARITA Y GUARDIA DE RONDA.  POR SU UBICACIÓN ESTRATÉGICA  Y EXCELENTES VÍAS DE CIRCULACIÓN EN 10 MINUTOS ESTA EN CUMBAYA EN DONDE ENCUENTRA, CENTROS COMERCIALES, BANCOS, COLEGIOS, UNIVERSIDADES, RESTAURANTES,  HOSPITALES Y EN 15 MINUTOS EN QUITO NUESTRA CAPITAL DE LA REPÚBLICA","Eugenio Espejo, Quito, Ecuador"
"17","Terreno en venta en Guangopolo","$ 490.000
                        ","Guangopolo, Guangopolo, Quito, Pichincha ","1.090 m²","Terreno","Venta","HERMOSO LOTE TOTALMENTE PLANO CON UBICACIÓN PRIVILEGIADA, LA URBANIZACIÓN CUENTA CON AMPLIAS VIAS DE CIRCULACION, ADOQUINES Y LAMPARAS DECORATIVAS, MUCHA NATURALEZA, CLIMA TEMPLADO, PISCINA, CANCHA DE TENIS TODO ESTO EN MEDIO DE UN AMBIENTE TOTALMENTE PRIVILEGIADO. CUENTA CON GARITA PROPIA DE SEGURIDAD, CIRCUITO DE CÁMARAS, COMPAÑÍA DE SEGURIDAD PRIVADA, GUARDIA DE RONDA.","Avenida Intervalles, Quito, Ecuador"
"18","Terreno en venta en Zambiza","$ 396.495
                        ","Zambiza, Zambiza, Quito, Pichincha ","801 m²","Terreno","Venta","LA URBANIZACIÓN N RINCÓN DEL VALLE TIENE UNA UBICACIÓN PRIVILEGIADA, UBICADA EN EL CORAZÓN DE CUMBAYA, CON UN CLIMA TEMPLADO, ENTORNO INIGUALABLE, RODEADA DE MUCHA NATURALEZA , AMPLIAS VÍAS DE CIRCULACIÓN, CABLEADO SOTERRADO, ADOQUINES Y LAMPARAS DECORATIVAS , HERMOSOS JARDINES, ÁREAS COMUNALES PROPIAS DE LA URBANIZACIÓN CON  CANCHAS DE TENIS, BASQUETBOL, VOLEIBOL, INDOR Y  SENDEROS.  LA URBANIZACIÓN ESTÁ CALIFICADA COMO UNA DE LAS MÁS SEGURAS POR ORGANISMOS INTERNACIONALES QUE HAN ESCOGIDO PARA LA RESIDENCIA DE MAS DE 6 CUERPOS DIPLOMÁTICOS. CUENTA CON GARITA PROPIA DE SEGURIDAD CON 2 GUARDIAS EN GARITA Y GUARDIA DE RONDA.  POR SU UBICACIÓN ESTRATÉGICA  Y EXCELENTES VÍAS DE CIRCULACIÓN EN 10 MINUTOS ESTA EN CUMBAYA EN DONDE ENCUENTRA, CENTROS COMERCIALES, BANCOS, COLEGIOS, UNIVERSIDADES, RESTAURANTES,  HOSPITALES Y EN 15 MINUTOS EN QUITO NUESTRA CAPITAL DE LA REPÚBLICA.","Eugenio Espejo, Quito, Ecuador"
"19","Terreno en venta en Zambiza","$ 544.000
                        ","Zambiza, Zambiza, Quito, Pichincha ","1.099 m²","Terreno","Venta","LA URBANIZACIÓN RINCÓN DEL VALLE TIENE UNA UBICACIÓN PRIVILEGIADA, UBICADA EN EL CORAZÓN DE CUMBAYA, CON UN CLIMA TEMPLADO, ENTORNO INIGUALABLE, RODEADA DE MUCHA NATURALEZA , AMPLIAS VÍAS DE CIRCULACIÓN, CABLEADO SOTERRADO, ADOQUINES Y, LAMPARAS DECORATIVAS , HERMOSOS JARDINES, ÁREAS COMUNALES PROPIAS DE LA URBANIZACIÓN CON  CANCHAS DE TENIS, BASQUETBOL,  VOLEIBOL , INDOR Y  SENDEROS.  LA URBANIZACIÓN ESTA CALIFICADA COMO UNA DE LAS MAS SEGURAS POR ORGANISMOS INTERNACIONALES QUE HAN ESCOGIDO PARA LA RESIDENCIA DE MAS DE 6 ORGANISMOS DIPLOMÁTICOS. CUENTA CON GARITA PROPIA DE SEGURIDAD CON 2 GUARDIAS EN GARITA Y GUARDIA DE RONDA.  POR SU UBICACIÓN ESTRATÉGICA  Y EXCELENTES VÍAS DE CIRCULACIÓN EN 10 MINUTOS ESTA EN CUMBAYA EN DONDE ENCUENTRA, CENTROS COMERCIALES, BANCOS, COLEGIOS, UNIVERSIDADES, RESTAURANTES,  HOSPITALES Y EN 15 MINUTOS EN QUITO NUESTRA CAPITAL DE LA REPÚBLICA.","Eugenio Espejo, Quito, Ecuador"
"20","Terreno en venta en Zambiza","$ 449.000
                        ","Zambiza, Zambiza, Quito, Pichincha ","910 m²","Terreno","Venta","LA URBANIZACIÓN  RINCÓN DEL VALLE TIENE UNA UBICACIÓN PRIVILEGIADA, UBICADA EN EL CORAZÓN DE CUMBAYA, CON UN CLIMA TEMPLADO, ENTORNO INIGUALABLE, RODEADA DE MUCHA NATURALEZA , AMPLIAS VÍAS DE CIRCULACIÓN, CABLEADO SOTERRADO, ADOQUINES Y LAMPARAS DECORATIVAS , HERMOSOS JARDINES, ÁREAS COMUNALES PROPIAS DE LA URBANIZACIÓN CON  CANCHAS DE TENIS, BASQUETBOL, VOLEIBOL, INDOR Y  SENDEROS.  LA URBANIZACIÓN ESTÁ CALIFICADA COMO UNA DE LAS MÁS SEGURAS POR ORGANISMOS INTERNACIONALES QUE HAN ESCOGIDO PARA LA RESIDENCIA DE MAS DE 6 CUERPOS DIPLOMÁTICOS. CUENTA CON GARITA PROPIA DE SEGURIDAD CON 2 GUARDIAS EN GARITA Y GUARDIA DE RONDA.  POR SU UBICACIÓN ESTRATÉGICA  Y EXCELENTES VÍAS DE CIRCULACIÓN EN 10 MINUTOS ESTA EN CUMBAYA EN DONDE ENCUENTRA, CENTROS COMERCIALES, BANCOS, COLEGIOS, UNIVERSIDADES, RESTAURANTES,  HOSPITALES Y EN 15 MINUTOS EN QUITO NUESTRA CAPITAL DE LA REPÚBLICA.","Eugenio Espejo, Quito, Ecuador"
"21","Terreno en venta en Zambiza","$ 680.000
                        ","Zambiza, Zambiza, Quito, Pichincha ","1.560 m²","Terreno","Venta","LA URBANIZACIÓN  RINCÓN DEL VALLE TIENE UNA UBICACIÓN PRIVILEGIADA, UBICADA EN EL CORAZÓN DE CUMBAYA, CON UN CLIMA TEMPLADO, ENTORNO INIGUALABLE, RODEADA DE MUCHA NATURALEZA , AMPLIAS VÍAS DE CIRCULACIÓN, CABLEADO SOTERRADO, ADOQUINES Y LAMPARAS DECORATIVAS , HERMOSOS JARDINES, ÁREAS COMUNALES PROPIAS DE LA URBANIZACIÓN CON  CANCHAS DE TENIS, BASQUETBOL, VOLEIBOL, INDOR Y  SENDEROS.  LA URBANIZACIÓN ESTÁ CALIFICADA COMO UNA DE LAS MÁS SEGURAS POR ORGANISMOS INTERNACIONALES QUE HAN ESCOGIDO PARA LA RESIDENCIA DE MAS DE 6 CUERPOS DIPLOMÁTICOS. CUENTA CON GARITIA PROPIA DE SEGURIDAD CON 2 GUARDIAS EN GARITA Y GUARDIA DE RONDA.  POR SU UBICACIÓN ESTRATÉGICA  Y EXCELENTES VÍAS DE CIRCULACIÓN EN 10 MINUTOS ESTA EN CUMBAYA EN DONDE ENCUENTRA, CENTROS COMERCIALES, BANCOS, COLEGIOS, UNIVERSIDADES, RESTAURANTES,  HOSPITALES Y EN 15 MINUTOS EN QUITO NUESTRA CAPITAL DE LA REPÚBLICA","Eugenio Espejo, Quito, Ecuador"
"22","Terreno en venta en Zambiza","$ 350.000
                        ","Zambiza, Zambiza, Quito, Pichincha ","717 m²","Terreno","Venta","La urbanización Rincón del Valle tiene una ubicación privilegiada, ubicada en el corazón de Cumbayá , con un clima templado, entorno inigualable, rodeada de mucha naturaleza, amplias vías de circulación, cableado soterrado, adoquines y lámparas decorativas, hermosos jardines, áreas comunales propias con canchas de tenis, basquetbol, voleibol, indor y senderos. La urbanización está calificada como una de las más seguras por organismos internacionales que han escogido para la residencia de más de 6 cuerpos diplomáticos. Cuenta con garita propia de seguridad con 2 guardias en garita y guardia de ronda. Por su ubicación estratégica y excelentes vías de circulación en 10 minutos está en Cumbayá en donde encuentra, centros comerciales, bancos, colegio, universidades, restaurantes, hospitales. A 15 minutos de Quito nuestra Capital de la República","Eugenio Espejo, Quito, Ecuador"
"23","Terreno en venta en Quito","$ 379.000
                        ","Quito, Quito, Quito, Pichincha ","2.355 m²","Terreno","Venta","Oportunidad, vendo terreno  de 2355m2, con todos los servicios para construir, sector Colegio Saint Patrick, cos total 240%, altura 12m. Valor $494.550, negociable.","Pichincha, Quito, Quito"
"24","Terreno en venta en Cumbaya","$ 720.000
                        ","Cumbaya, Cumbaya, Quito, Pichincha ","2.204 m²","Terreno","Venta","Terreno de Venta Cumbaya Lumbisi 2204 m²
JUNTO AL NUEVO PROYECTO SAN PATRICIO, en Cumbayá
EN VENTA ESPECTACULAR TERRENO CON TODOS LOS SERVICIOS
Totalmente Plano
En el sector del Colegio Spellman
Dentro de Urbanización Privada y segura
Vecindad de lujo, casas de alta gama
Cerramiento propio
2204m2
USD325/m2
Cos PB: 35%
Cos Total: 70%
Altura: 8metros
FRENTE TOTAL: 146mt
Uso de suelo: Residencial","Pichincha, Quito, Cumbaya"
"25","Terreno en venta en Quito","$ 2.600.000
                        ","Quito, Quito, Quito, Pichincha ","3.200 m²","Terreno","Venta","AMPLIO TERRENO CON CASA, LOMAS DE MONTESERRÍN 
Terreno 3.200 m2
Excelente vista 
Construcción casa en 2 plantas 
Amplió espacio de áreas verdes 
VALOR DE OPORTUNIDAD: 
$ 2'600.000","Pichincha, Quito, Quito"
"26","Terreno en venta en Puembo","$ 300.000
                        ","Puembo, Puembo, Quito, Pichincha ","","","","TERRENO 
VENTA
PUEMBO.
Vía al Club Arrayanes, 
A pocos kilómetros, dentro de urbanización, con frente a la carretera, árboles frutales, con clima muy agradable, y con servicios públicos a pocos kilómetros, ofrecemos:
- 1.511, 22 metros planos
- Cos Total 70
- Cos PB 35
- Frente 34,94 metros

$300.000

Elena Pabón Subía
","Puembo, Ecuador"
"27","Terreno en venta en Tumbaco","$ 395.000
                        ","Tumbaco, Pichincha ","2.444 m²","Terreno","Venta","TERRENO DE VENTA.

Collaqui, Tumbaco.
Exclusiva urbanización,  de amplios terrenos y muy bien mantenida
Calle principal adoquinada, y la secundaria empedrada, manteniendo el entorno del lugar

Cercanía a servicio de transporte público.
. Esquinero
. 2.444 metros
. Frente total 157 metros
. Cos PB  10%
. Cos total 20%

. Precio $ $395,000,00","Collaqui, Quito, Ecuador"
"28","Terreno en venta en Pifo","$ 106.000
                        ","Pifo, Pifo, Quito, Pichincha ","1.000 m²","Terreno","Venta","Terreno de venta 1000m2 con casita Pifo
con cerramiento propio, en PIFO, frente al PINTULAC de Pifo
CON CASITA NUEVA DE 80 m2 con todos los servicios
Vias asfaltadas, ESTAN CONSTRUYENDO CASAS DE ALTA GAMMA
a 200 mts de la Via al Aeropuerto
Uso de Suelo: Multiple
Frente: 25 mts
Altura : 8mts
COS PB: 50%
COS Total: 100%
No tiene afectaciones","Pichincha, Quito, Pifo"
